Treatment,Phenotype
Control-MO,Decreased
Control-MO,Decreased
Control-MO,WT
Control-MO,WT
Control-MO,WT
Control-MO,WT
Control-MO,WT
Control-MO,WT
Control-MO,WT
Control-MO,WT
Control-MO,WT
Control-MO,WT
Control-MO,WT
Control-MO,WT
Control-MO,WT
Control-MO,WT
Control-MO,WT
Control-MO,WT
Control-MO,WT
Control-MO,WT
Control-MO,WT
Control-MO,WT
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,WT
JmjD2A-sbMO+tbMO,WT
JmjD2A-sbMO+tbMO,WT
JmjD2A-sbMO+tbMO,WT
JmjD2A-sbMO+tbMO,WT
JmjD2A-sbMO+tbMO,WT
JmjD2A-sbMO+tbMO,WT
JmjD2A-sbMO+tbMO,WT
JmjD2A-sbMO+tbMO,WT
JmjD2A-sbMO+tbMO,WT
JmjD2A-sbMO+tbMO,WT
JmjD2A-sbMO+tbMO,WT
JmjD2A-sbMO+tbMO,WT
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,Decreased
JmjD2A-sbMO+tbMO,WT
JmjD2A-sbMO+tbMO,WT
JmjD2A-sbMO+pCI-JmjD2A,Decreased
JmjD2A-sbMO+pCI-JmjD2A,Decreased
JmjD2A-sbMO+pCI-JmjD2A,Decreased
JmjD2A-sbMO+pCI-JmjD2A,Decreased
JmjD2A-sbMO+pCI-JmjD2A,Decreased
JmjD2A-sbMO+pCI-JmjD2A,Decreased
JmjD2A-sbMO+pCI-JmjD2A,WT
JmjD2A-sbMO+pCI-JmjD2A,WT
JmjD2A-sbMO+pCI-JmjD2A,WT
JmjD2A-sbMO+pCI-JmjD2A,WT
JmjD2A-sbMO+pCI-JmjD2A,WT
JmjD2A-sbMO+pCI-JmjD2A,WT
JmjD2A-sbMO+pCI-JmjD2A,WT
JmjD2A-sbMO+pCI-JmjD2A,WT
JmjD2A-sbMO+pCI-JmjD2A,WT